Year,Diesel,Electric,Hybrid,Other,Petrol
2008,0.3980182436000001,8.814e-06,0.0,0.0,0.34679028975
2009,0.24596973000000005,4.407e-06,0.0,0.0,0.2348370945
2010,0.46932551280000007,1.1085000000000001e-05,0.0,0.0,0.4666455519
2011,0.7435065576000002,0.009300954,0.0,0.0,0.7388425605
2012,0.6996479020000002,0.005424666,0.0,0.0,0.5006762177999999
2013,0.0,0.0,0.0,0.0,0.0
2014,0.36713815800000005,0.0002522,0.053260582800000004,0.0,0.45967942545
2015,0.5364000704,0.006953592999999999,0.09402402,0.0,0.8653020234000001
2016,0.47200347600000014,0.0021878579999999996,0.04797782070000001,0.0,0.5028355791
2017,0.4090805332000001,0.000558057,0.051273695700000003,0.0,0.43597240215
2018,0.35496988600000007,0.000671353,0.0824199822,3e-06,0.5179392369
2019,0.20826920520000003,0.000359697,0.0175842972,0.0,0.4134848784
2020,0.14901644200000003,0.000218257,0.0037949625,0.0,0.23726065845000002
2021,0.10896746000000002,0.00013490100000000002,0.0007201382999999999,0.0,0.024710985
2022,0.04826409320000001,0.00017776200000000004,0.0002074908,0.0,0.01126211685
2023,0.022569352,0.0006707740000000001,0.0001621938,0.0,0.019144689000000003
