Year,TotalVehicles,EV_Share,EV_Count,CO2_Mt,Scenario
2024,447766.4734645292,0.005,2238.832367322646,0.803360218366385,Baseline (BAU)
2025,468509.7867766702,0.005,2342.548933883351,0.8405504802698567,Baseline (BAU)
2026,490214.05869706965,0.005,2451.0702934853484,0.8794624043297441,Baseline (BAU)
2027,512923.8067737646,0.005,2564.619033868823,0.9201756920307568,Baseline (BAU)
2028,536685.610883037,0.005,2683.4280544151848,0.9627737345033522,Baseline (BAU)
2029,561548.208769224,0.005,2807.74104384612,1.007343783329587,Baseline (BAU)
2030,587562.5960105096,0.005206390700734246,3059.08043596839,1.0538270607794067,Baseline (BAU)
2031,614782.130615765,0.007459422661077317,4585.919756740633,1.1008811678121468,Baseline (BAU)
2032,643262.6424669457,0.01,6432.626424669457,1.149767647145419,Baseline (BAU)
2033,673062.5478315544,0.012540577338922682,8440.592935013956,1.2007824823281614,Baseline (BAU)
2034,704242.9691800126,0.014793609299265756,10418.295337803962,1.2542758807532892,Baseline (BAU)
2035,736867.8605537316,0.01658849358166014,12223.527775327215,1.3105479599373875,Baseline (BAU)
2036,771004.1387409891,0.017900128291929867,13801.0729970726,1.3697970494726006,Baseline (BAU)
2037,806721.8205297055,0.018799371070802758,15165.86285505148,1.4321372099705083,Baseline (BAU)
2038,844094.1663185945,0.019389236079466528,16366.341064051712,1.4976431816109415,Baseline (BAU)
2039,883197.8303812951,0.019765027038160587,17456.428997531064,1.5663863003658864,Baseline (BAU)
2040,924113.0180916426,0.02,18482.260361832854,1.6384523810764824,Baseline (BAU)
2024,447766.4734645292,0.005,2238.832367322646,0.803360218366385,Low EV (15%)
2025,468509.7867766702,0.005,2342.548933883351,0.8405504802698567,Low EV (15%)
2026,490214.05869706965,0.005,2451.0702934853484,0.8794624043297441,Low EV (15%)
2027,512923.8067737646,0.009004716968979339,4618.733706649197,0.9177030514933975,Low EV (15%)
2028,536685.610883037,0.015749037810525977,8452.28197816218,0.9557645769859997,Low EV (15%)
2029,561548.208769224,0.025586298137548976,14367.939888175959,0.9931680894967275,Low EV (15%)
2030,587562.5960105096,0.03904793025550684,22943.103269762923,1.0292205825225857,Low EV (15%)
2031,614782.130615765,0.055945669958079876,34394.39817555474,1.0636578303866528,Low EV (15%)
2032,643262.6424669457,0.075,48244.69818502093,1.097084436727376,Low EV (15%)
2033,673062.5478315544,0.09405433004192011,63304.447012604665,1.1310368078320243,Low EV (15%)
2034,704242.9691800126,0.11095206974449316,78137.2150335297,1.167426366243521,Low EV (15%)
2035,736867.8605537316,0.12441370186245103,91676.4583149541,1.207755731051745,Low EV (15%)
2036,771004.1387409891,0.134250962189474,103508.0474780445,1.2527294477749322,Low EV (15%)
2037,806721.8205297055,0.14099528303102069,113743.9714128861,1.3023837745812583,Low EV (15%)
2038,844094.1663185945,0.14541927059599896,122747.55798038785,1.3564221161545051,Low EV (15%)
2039,883197.8303812951,0.1482377027862044,130923.21748148299,1.4144826372829957,Low EV (15%)
2040,924113.0180916426,0.15,138616.9527137464,1.4762705464013992,Low EV (15%)
2024,447766.4734645292,0.005,2238.832367322646,0.803360218366385,Medium EV (30%)
2025,468509.7867766702,0.005,2342.548933883351,0.8405504802698567,Medium EV (30%)
2026,490214.05869706965,0.009161458808002124,4491.075905856739,0.8770296976369912,Medium EV (30%)
2027,512923.8067737646,0.018009433937958678,9237.467413298395,0.9121432507940183,Medium EV (30%)
2028,536685.610883037,0.03149807562105195,16904.56395632436,0.9454950543825325,Medium EV (30%)
2029,561548.208769224,0.05117259627509795,28735.879776351918,0.9755494032088515,Medium EV (30%)
2030,587562.5960105096,0.07809586051101368,45886.20653952585,1.000828492226254,Medium EV (30%)
2031,614782.130615765,0.11189133991615975,68788.79635110949,1.020707825664929,Medium EV (30%)
2032,643262.6424669457,0.15,96489.39637004185,1.0362961170142495,Medium EV (30%)
2033,673062.5478315544,0.18810866008384022,126608.89402520933,1.0505610295672505,Medium EV (30%)
2034,704242.9691800126,0.22190413948898632,156274.4300670594,1.0672153879630188,Medium EV (30%)
2035,736867.8605537316,0.24882740372490206,183352.9166299082,1.0891493131067729,Medium EV (30%)
2036,771004.1387409891,0.268501924378948,207016.094956089,1.1176514458160844,Medium EV (30%)
2037,806721.8205297055,0.28199056606204137,227487.9428257722,1.152668272209047,Medium EV (30%)
2038,844094.1663185945,0.2908385411919979,245495.1159607757,1.1934747329355404,Medium EV (30%)
2039,883197.8303812951,0.2964754055724088,261846.43496296598,1.2392091798796605,Medium EV (30%)
2040,924113.0180916426,0.3,277233.9054274928,1.2891376602378415,Medium EV (30%)
2024,447766.4734645292,0.005,2238.832367322646,0.803360218366385,High EV (50%)
2025,468509.7867766702,0.00587432404598529,2752.178306241635,0.8400666055737585,High EV (50%)
2026,490214.05869706965,0.015269098013336875,7485.126509761232,0.8734592922918352,High EV (50%)
2027,512923.8067737646,0.03001572322993113,15395.779022163993,0.9047301831948463,High EV (50%)
2028,536685.610883037,0.05249679270175325,28174.2732605406,0.9318023575779099,High EV (50%)
2029,561548.208769224,0.08528766045849659,47893.13296058653,0.952057821491684,High EV (50%)
2030,587562.5960105096,0.13015976751835615,76477.01089920975,0.9629723718311454,High EV (50%)
2031,614782.130615765,0.18648556652693293,114647.99391851581,0.9634411527026305,High EV (50%)
2032,643262.6424669457,0.25,160815.66061673642,0.9552450240634144,High EV (50%)
2033,673062.5478315544,0.31351443347306707,211014.8233753489,0.9432599918808858,High EV (50%)
2034,704242.9691800126,0.3698402324816439,260457.38344509903,0.9336007502556832,High EV (50%)
2035,736867.8605537316,0.41471233954150344,305588.19438318035,0.9310074225134772,High EV (50%)
2036,771004.1387409891,0.44750320729824666,345026.824926815,0.9375474432042868,High EV (50%)
2037,806721.8205297055,0.46998427677006893,379146.571376287,0.9530476023794322,High EV (50%)
2038,844094.1663185945,0.4847309019866632,409158.5266012928,0.9762115553102537,High EV (50%)
2039,883197.8303812951,0.4941256759540147,436410.72493827663,1.0055112366752132,High EV (50%)
2040,924113.0180916426,0.5,462056.5090458213,1.039627145353098,High EV (50%)
2024,447766.4734645292,0.005,2238.832367322646,0.803360218366385,Full EV (80%)
2025,468509.7867766702,0.009398918473576464,4403.4852899866155,0.8381159991992098,Full EV (80%)
2026,490214.05869706965,0.024430556821339003,11976.202415617972,0.868103684274101,Full EV (80%)
2027,512923.8067737646,0.04802515716788981,24633.24643546239,0.8936105817960885,Full EV (80%)
2028,536685.610883037,0.08399486832280521,45078.837216864966,0.9112633123709756,Full EV (80%)
2029,561548.208769224,0.13646025673359455,76629.01273693846,0.9168204489159324,Full EV (80%)
2030,587562.5960105096,0.20825562802936984,122363.2174387356,0.9061881912384822,Full EV (80%)
2031,614782.130615765,0.2983769064430927,183436.79026962531,0.8775411432591823,Full EV (80%)
2032,643262.6424669457,0.4,257305.05698677828,0.8336683846371616,Full EV (80%)
2033,673062.5478315544,0.5016230935569074,337623.7174005583,0.7823084353513382,Full EV (80%)
2034,704242.9691800126,0.5917443719706302,416731.81351215846,0.7331787936946794,Full EV (80%)
2035,736867.8605537316,0.6635397432664055,488941.11101308855,0.6937945866235335,Full EV (80%)
2036,771004.1387409891,0.7160051316771947,552042.919882904,0.6673914392865908,Full EV (80%)
2037,806721.8205297055,0.7519748428321104,606634.5142020592,0.6536165976350095,Full EV (80%)
2038,844094.1663185945,0.7755694431786612,654653.6425620685,0.6503167888723241,Full EV (80%)
2039,883197.8303812951,0.7906010815264235,698257.1599012426,0.6549643218685426,Full EV (80%)
2040,924113.0180916426,0.8,739290.4144733142,0.6653613730259826,Full EV (80%)
